Fecha,R1,R2,R3,R4
16/10/1983 00:00,53.2,44.0,41.2,32.9
16/11/1983 00:00,57.0,43.9,51.1,24.5
16/12/1983 00:00,123.4,97.0,70.1,48.2
16/01/1984 00:00,123.6,184.9,175.5,124.7
16/02/1984 00:00,199.1,241.0,217.5,174.4
16/03/1984 00:00,135.4,150.5,127.2,87.8
16/04/1984 00:00,63.4,72.3,54.3,34.9
16/05/1984 00:00,28.5,19.6,18.3,7.5
16/06/1984 00:00,29.3,19.0,17.2,14.4
16/07/1984 00:00,12.7,1.5,4.7,3.2
16/08/1984 00:00,29.5,16.3,11.7,16.8
16/09/1984 00:00,15.6,13.0,19.0,11.7
16/10/1984 00:00,71.6,49.8,78.4,33.3
16/11/1984 00:00,82.5,90.8,123.8,62.1
16/12/1984 00:00,96.6,115.7,95.4,77.2
16/01/1985 00:00,104.3,110.2,95.8,79.8
16/02/1985 00:00,105.3,91.1,106.5,71.1
16/03/1985 00:00,98.7,121.8,114.6,85.8
16/04/1985 00:00,115.7,90.5,70.6,42.2
16/05/1985 00:00,32.2,38.4,23.2,23.2
16/06/1985 00:00,16.8,25.9,21.3,12.2
16/07/1985 00:00,15.2,3.2,3.8,0.7
16/08/1985 00:00,5.7,6.5,4.6,5.3
16/09/1985 00:00,107.6,54.3,74.7,39.3
16/10/1985 00:00,49.1,15.2,39.2,24.4
16/11/1985 00:00,68.6,26.7,65.5,34.8
16/12/1985 00:00,144.6,97.3,130.2,73.1
16/01/1986 00:00,161.7,175.7,153.7,107.7
16/02/1986 00:00,164.3,200.7,217.4,177.9
16/03/1986 00:00,156.9,138.3,167.5,158.2
16/04/1986 00:00,89.3,94.1,83.6,69.5
16/05/1986 00:00,38.2,26.3,17.8,14.7
16/06/1986 00:00,2.8,0.3,0.0,0.5
16/07/1986 00:00,7.0,10.5,7.6,4.3
16/08/1986 00:00,28.7,28.2,27.2,26.5
16/09/1986 00:00,58.3,40.3,45.6,43.5
16/10/1986 00:00,47.5,26.5,26.1,15.5
16/11/1986 00:00,44.2,45.6,59.8,25.9
16/12/1986 00:00,144.8,108.1,107.5,47.1
16/01/1987 00:00,194.3,157.2,145.6,84.1
16/02/1987 00:00,108.6,95.0,109.8,64.7
16/03/1987 00:00,90.8,71.0,74.3,44.1
16/04/1987 00:00,45.4,41.2,30.3,15.6
16/05/1987 00:00,21.0,11.8,13.6,25.9
16/06/1987 00:00,10.1,11.0,15.1,7.5
16/07/1987 00:00,16.4,12.6,15.6,11.4
16/08/1987 00:00,19.6,22.4,5.1,0.9
16/09/1987 00:00,48.2,20.3,22.1,17.0
16/10/1987 00:00,57.8,38.6,34.8,50.8
16/11/1987 00:00,91.5,68.9,59.3,64.9
16/12/1987 00:00,106.4,90.4,90.2,83.9
16/01/1988 00:00,219.8,140.2,163.2,110.7
16/02/1988 00:00,135.0,92.6,123.6,100.4
16/03/1988 00:00,112.0,120.5,110.8,105.8
16/04/1988 00:00,94.3,75.8,59.9,56.0
16/05/1988 00:00,30.1,20.9,16.7,16.6
16/06/1988 00:00,2.4,4.6,0.8,1.1
16/07/1988 00:00,0.0,1.7,1.0,0.2
16/08/1988 00:00,2.5,2.5,2.0,0.0
16/09/1988 00:00,19.5,16.6,34.0,13.1
16/10/1988 00:00,59.6,48.9,47.7,30.1
16/11/1988 00:00,33.7,28.0,39.9,35.0
16/12/1988 00:00,110.4,82.5,102.1,91.3
16/01/1989 00:00,153.3,181.7,109.1,68.4
16/02/1989 00:00,175.2,120.3,128.2,76.4
16/03/1989 00:00,132.1,178.8,164.0,149.7
16/04/1989 00:00,89.7,85.2,59.2,43.4
16/05/1989 00:00,20.2,5.9,18.3,13.1
16/06/1989 00:00,31.4,11.8,14.4,8.5
16/07/1989 00:00,4.6,2.2,6.2,0.6
16/08/1989 00:00,50.4,18.2,21.2,13.7
16/09/1989 00:00,48.0,21.8,36.6,22.9
16/10/1989 00:00,98.1,49.4,77.1,43.3
16/11/1989 00:00,71.0,32.0,44.3,34.5
16/12/1989 00:00,91.1,56.6,76.4,25.1
16/01/1990 00:00,161.3,124.6,123.6,63.2
16/02/1990 00:00,86.8,78.8,75.1,30.6
16/03/1990 00:00,49.5,105.8,68.3,58.8
16/04/1990 00:00,71.1,22.8,44.8,35.5
