N;CODIGO_PAIS;CODIGO_ENTIDAD;PROGRAMA;CODIGO_SNIP;CODIGO_UNIFICADO;NOMBRE;UNIDAD_EJECUTORA;DEPARTAMENTO;PROVINCIA;DISTRITO;POBLACION_BENEFICIADA_SSP;MONTO_ACTUALIZADO _PIP;MODALIDAD_FINANCIAMIENTO;TIPO_EJECUCION;ETAPA_INVERSION;ESTADO;;;;;;;;;
25;PE;11500;PNSU;49204;2050239;CONSTRUCCION DEL SISTEMA INTEGRAL DEL AGUA POTABLE Y ALCANTARILLADO DE LA LOCALIDAD DE SENGACHE -DISTRITO DE CHILIQUIN, PROVINCIA DE CHACHAPOYAS - AMAZONAS;MUNICIPALIDAD PROVINCIAL DE CHACHAPOYAS;AMAZONAS;CHACHAPOYAS;CHILIQUIN;800;228,971.00;Transferencia;Directa;OBRA;Concluido;;;;;;;;;
26;PE;11501;PNSU;65674;2059991;MEJORAMIENTO, AMPLIACION DEL SISTEMA DE AGUA POTABLE Y ALCANTARILLADO DE LA LOCALIDAD DE GRANADA, DISTRITO DE GRANADA - CHACHAPOYAS - AMAZONAS;MUNICIPALIDAD PROVINCIAL DE CHACHAPOYAS;AMAZONAS;CHACHAPOYAS;GRANADA;621;1,245,061.00;Transferencia;Directa;OBRA;Concluido;;;;;;;;;
27;PE;11502;PNSU;50200;2058414;AMPLIACION Y MEJORAMIENTO DEL SISTEMA AGUA POTABLE Y ALCANTARILLADO DE LA LOCALIDAD DE HUANCAS, DISTRITOS DE HUANCAS - CHACHAPOYAS- AMAZONAS;MUNICIPALIDAD DISTRITAL DE HUANCAS;AMAZONAS;CHACHAPOYAS;HUANCAS;940;1,585,542.00;Transferencia;Indirecta;OBRA;Concluido;;;;;;;;;
28;PE;11503;PNSU;30192;2116410;RECUPERACION, AMPLIACION Y MEJORAMIENTO DEL SISTEMA DE AGUA POTABLE Y ALCANTARILLADO DE LA LOCALIDAD DE LA JALCA - II ETAPA;MUNICIPALIDAD DISTRITAL DE JALCA GRANDE;AMAZONAS;CHACHAPOYAS;LA JALCA;3028;5,865,430.46;Transferencia;Indirecta;OBRA;Concluido;;;;;;;;;
29;PE;11504;PNSU;50721;2064997;AMPLIACION, MEJORAMIENTO DEL SISTEMA DE AGUA POTABLE Y ALCANTARILLADO DE LAS LOCALIDADES DE CACHUC, LEVANTO Y COYACRUZ, DISTRITO DE LEVANTO - CHACHAPOYAS - AMAZONAS;MUNICIPALIDAD DISTRITAL DE LEVANTO;AMAZONAS;CHACHAPOYAS;LEVANTO;1475;631,289.83;Transferencia;Directa;OBRA;Concluido;;;;;;;;;
30;PE;11505;PNSU;48873;2063466;MEJORAMIENTO DEL SISTEMA DE AGUA POTABLE Y ALCANTARILLADO DE LA LOCALIDAD DE TACTA, DISTRITO DE MARISCAL CASTILLA - CHACHAPOYAS - AMAZONAS;MUNICIPALIDAD DISTRITAL DE MARISCAL RAMON CASTILLA;AMAZONAS;CHACHAPOYAS;MARISCAL CASTILLA;618;1,027,972.00;Transferencia;Directa;OBRA;Concluido;;;;;;;;;
31;PE;11506;PNSU;40827;2063465;CONSTRUCCION DEL ALCANTARILLADO DEL ANEXO DE SAN PEDRO, DISTRITO DE MARISCAL CASTILLA - CHACHAPOYAS - AMAZONAS;MUNICIPALIDAD DISTRITAL DE MARISCAL RAMON CASTILLA;AMAZONAS;CHACHAPOYAS;MARISCAL CASTILLA;391;296,347.00;Transferencia;Directa;OBRA;Concluido;;;;;;;;;
32;PE;11507;PNSU;55817;2060512;MEJORAMIENTO Y AMPLIACION DEL SISTEMA DE AGUA POTABLE Y ALCANTARILLADO DE LAS LOCALIDADES DE SAN JOSE Y SANTA ROSA, DISTRITO DE MOLINOPAMPA - CHACHAPOYAS - AMAZONAS;MUNICIPALIDAD DISTRITAL DE MOLINOPAMPA;AMAZONAS;CHACHAPOYAS;MOLINOPAMPA;640;959,728.00;Transferencia;Directa;OBRA;Concluido;;;;;;;;;
33;PE;11508;PNSU;56085;2060513;MEJORAMIENTO Y AMPLIACION DEL SISTEMA DE AGUA POTABLE Y ALCANTARILLADO DE LAS LOCALIDADES DE IZCUCHACA Y CHILLCABRABA, DISTRITO DE MOLINOPAMPA - CHACHAPOYAS - AMAZONAS;MUNICIPALIDAD DISTRITAL DE MOLINOPAMPA;AMAZONAS;CHACHAPOYAS;MOLINOPAMPA;407;887,121.00;Transferencia;Directa;OBRA;Concluido;;;;;;;;;
34;PE;11509;PNSU;49621;2064374;CONSTRUCCION SISTEMA DE ALCANTARILLADO Y TRATAMIENTO DE AGUAS SERVIDAS CASHAC, QUINJALCA, DISTRITO DE QUINJALCA - CHACHAPOYAS - AMAZONAS;MUNICIPALIDAD DISTRITAL DE DE QUINJALCA;AMAZONAS;CHACHAPOYAS;QUINJALCA;1192;230,756.00;Transferencia;Directa;OBRA;Concluido;;;;;;;;;
