N;CODIGO_PAIS;CODIGO_ENTIDAD;PROGRAMA;CODIGO_SNIP;CODIGO_UNIFICADO;NOMBRE;UNIDAD_EJECUTORA;DEPARTAMENTO;PROVINCIA;DISTRITO;POBLACION_BENEFICIADA_SSP;MONTO_ACTUALIZADO _PIP;MODALIDAD_FINANCIAMIENTO;TIPO_EJECUCION;ETAPA_INVERSION;ESTADO;;;;;;;;;
1103;PE;12578;PNSU;65101;2067268;MEJORAMIENTO Y AMPLIACION INTEGRAL DE LOS SISTEMAS DE AGUA POTABLE Y ALCANTARILLADO DE LA LOCALIDAD DE LAMBAYEQUE, PROVINCIA DE LAMBAYEQUE - LAMBAYEQUE;MUNICIPALIDAD PROVINCIAL DE LAMBAYEQUE;LAMBAYEQUE;LAMBAYEQUE;LAMBAYEQUE;51337;70837702.44;Transferencia;Indirecta;OBRA;Convenio Resuelto;;;;;;;;;
1104;PE;12579;PNSU;24381;2026794;AMPLIACION DE LAS REDES DE AGUA POTABLE Y ALCANTARILLADO CON CONEXIONES DOMICILIARIAS DEL PJ SAN LUIS - MOCHUMI;ENTIDAD PRESTADORA DE SERVICIOS DE SANEAMIENTO DE LAMBAYEQUE S.A.;LAMBAYEQUE;LAMBAYEQUE;MOCHUMI;1238;813093;Transferencia;Indirecta;OBRA;Concluido;;;;;;;;;
1105;PE;12580;PNSU;28868;2060883;MEJORAMIENTO Y AMPLIACION INTEGRAL DEL SISTEMA DE AGUA POTABLE Y ALCANTARILLADO DE LA LOCALIDAD DE MOCHUMI;MUNICIPALIDAD DISTRITAL DE MOCHUMI;LAMBAYEQUE;LAMBAYEQUE;MOCHUMI;7589;12264705;Transferencia;Indirecta;OBRA;Concluido;;;;;;;;;
1106;PE;12581;PNSU;256846;2234202;INSTALACION DEL SISTEMA DE DRENAJE PLUVIAL EN EL AREA URBANA, DISTRITO DE MOCHUMI - LAMBAYEQUE - LAMBAYEQUE;MUNICIPALIDAD DISTRITAL DE MOCHUMI;LAMBAYEQUE;LAMBAYEQUE;MOCHUMI;7428;4649781.19;Transferencia;Indirecta;OBRA;Concluido;;;;;;;;;
1107;PE;12582;PNSU;52914;2050249;CONSTRUCCION DEL SISTEMA DE ABASTECIMIENTO DE AGUA POTABLE EN EL CASERIO CARRIZAL, DISTRITO DE MORROPE - LAMBAYEQUE - LAMBAYEQUE;MUNICIPALIDAD DISTRITAL DE MORROPE;LAMBAYEQUE;LAMBAYEQUE;MORROPE;161;155976;Transferencia;Indirecta;OBRA;Concluido;;;;;;;;;
1108;PE;12583;PNSU;52149;2050281;CONSTRUCCION DEL SISTEMA DE AGUA POTABLE PARA EL CASERIO DE ANNAPE Y ANEXO DE SAN ANTONIO, DISTRITO DE MORROPE - LAMBAYEQUE - LAMBAYEQUE;MUNICIPALIDAD DISTRITAL DE MORROPE;LAMBAYEQUE;LAMBAYEQUE;MORROPE;1166;391072;Transferencia;Indirecta;OBRA;Concluido;;;;;;;;;
1109;PE;12584;PNSU;51683;2054240;MEJORAMIENTO Y AMPLACION DEL SISTEMA DE AGUA POTABLE EN EL CASERIO LAGUNAS Y CHEPITO BAJO, DISTRITO DE MORROPE - LAMBAYEQUE - LAMBAYEQUE;MUNICIPALIDAD DISTRITAL DE MORROPE;LAMBAYEQUE;LAMBAYEQUE;MORROPE;1544;489834;Transferencia;Indirecta;OBRA;Concluido;;;;;;;;;
1110;PE;12585;PNSU;51725;2050247;CONSTRUCCION DEL SISTEMA DE ABASTECIMIENTO DE AGUA POTABLE EN CASERIO ARBOLSOL Y ANEXOS, DISTRITO DE MORROPE - LAMBAYEQUE - LAMBAYEQUE;MUNICIPALIDAD DISTRITAL DE MORROPE;LAMBAYEQUE;LAMBAYEQUE;MORROPE;1329;1329123;Transferencia;Indirecta;OBRA;Concluido;;;;;;;;;
1111;PE;12586;PNSU;51787;2050248;CONSTRUCCION DEL SISTEMA DE ABASTECIMIENTO DE AGUA POTABLE EN EL C.P. CRUZ DE MEDIANIA,CASERIO PORTADA DE BELEN Y A.H. 25 DE FEBRERO, DISTRITO DE MORROPE - LAMBAYEQUE - LAMBAYEQUE;MUNICIPALIDAD DISTRITAL DE MORROPE;LAMBAYEQUE;LAMBAYEQUE;MORROPE;1607;1468368;Transferencia;Indirecta;OBRA;Concluido;;;;;;;;;
1112;PE;12587;PNSU;61274;2066027;MEJORAMIENTO Y AMPLIACION DEL SISTEMA DE SANEAMIENTO BASICO DEL C. P CRUZ DEL MEDANO Y SUS ANEXOS EL PORVENIR, SAN MIGUEL, SANTA ELENA, SANTA ROSA, LOS SANCHEZ Y LOS BARRIOS DEL CASERIO LAGARTERA, DISTRITO DE MORROPE - LAMBAYEQUE - LAMBAYEQUE;MUNICIPALIDAD DISTRITAL DE MORROPE;LAMBAYEQUE;LAMBAYEQUE;MORROPE;4801;8247913.75;Transferencia;Indirecta;OBRA;Concluido;;;;;;;;;
1113;PE;12588;PNSU;103340;2090511;MEJORAMIENTO Y AMPLIACION DE SISTEMAS DE AGUA POTABLE Y ALCANTARILLADO LOCALIDAD DE MOTUPE, DISTRITO DE MOTUPE - LAMBAYEQUE - LAMBAYEQUE;MUNICIPALIDAD DISTRITAL DE MOTUPE;LAMBAYEQUE;LAMBAYEQUE;MOTUPE;13601;23789419.43;Transferencia;Indirecta;OBRA;Concluido;;;;;;;;;
1114;PE;12589;PNSU;216903;2213000;MEJORAMIENTO DE SISTEMAS DE AGUA POTABLE Y ALCANTARILLADO DE LA LOCALIDAD DE OLMOS, DISTRITO DE OLMOS - LAMBAYEQUE - LAMBAYEQUE;MUNICIPALIDAD DISTRITAL DE OLMOS;LAMBAYEQUE;LAMBAYEQUE;OLMOS;16459;48492635.05;Transferencia;Indirecta;OBRA;Concluido;;;;;;;;;
1115;PE;12590;PNSU;47129;2054279;MEJORAMIENTO Y AMPLIACION DEL  AGUA POTABLE E INSTALACION DE LETRINAS EN EL CPM CORRAL DE ARENA, DISTRITO DE OLMOS-LAMBAYEQUE;MUNICIPALIDAD DISTRITAL DE OLMOS;LAMBAYEQUE;LAMBAYEQUE;OLMOS;1406;700317;Transferencia;Indirecta;OBRA;Concluido;;;;;;;;;
1116;PE;12591;PNSU;51668;2051284;CONSTRUCCION Y EQUIPAMIENTO DE 4 POZOS Y 4 SISTEMAS DE AGUA POTABLE PARA EL ABASTECIMIENTO DE 15 CASERIOS DEL DISTRITO DE OLMOS, DISTRITO DE OLMOS - LAMBAYEQUE - LAMBAYEQUE;MUNICIPALIDAD DISTRITAL DE OLMOS;LAMBAYEQUE;LAMBAYEQUE;OLMOS;3780;435694;Transferencia;Indirecta;OBRA;Concluido;;;;;;;;;
1117;PE;12592;PNSU;23758;2034050;CONSTRUCCION DE SISTEMA DE AGUA POTABLE EN LOS CASERIOS DE PASAJE NORTE, ANCOL, FICUAR Y EL MILAGRO-OLMOS.;MUNICIPALIDAD DISTRITAL DE OLMOS;LAMBAYEQUE;LAMBAYEQUE;OLMOS;2560;236500;Transferencia;Indirecta;OBRA;Concluido;;;;;;;;;
1118;PE;12593;PNSU;43977;2047300;AMPLIACION SISTEMA DE AGUA POTABLE EN C.P CAPILLA CENTRAL, DISTRITO DE OLMOS - LAMBAYEQUE - LAMBAYEQUE;MUNICIPALIDAD DISTRITAL DE OLMOS;LAMBAYEQUE;LAMBAYEQUE;OLMOS;630;78947;Transferencia;Indirecta;OBRA;Concluido;;;;;;;;;
1119;PE;12594;PNSU;47024;2053789;MEJORAMIENTO DEL SISTEMA DE AGUA POTABLE E INSTALACION DE LETRINAS PARA EL CENTRO POBLADO EL PUENTE, DISTRITO DE OLMOS-LAMBAYEQUE-LAMBAYEQUE;MUNICIPALIDAD DISTRITAL DE OLMOS;LAMBAYEQUE;LAMBAYEQUE;OLMOS;737;239209;Transferencia;Indirecta;OBRA;Concluido;;;;;;;;;
1120;PE;12595;PNSU;47638;2054266;MEJORAMIENTO Y AMPLIACION DE LOS SISTEMAS DE AGUA POTABLE Y ALCANTARILLADO DE LA LOCALIDAD DE OLMOS.;MUNICIPALIDAD DISTRITAL DE OLMOS;LAMBAYEQUE;LAMBAYEQUE;OLMOS;10510;4394925;Transferencia;Indirecta;OBRA;Concluido;;;;;;;;;
1121;PE;12596;PNSU;73991;2070291;MEJORAMIENTO DE SERVICIO DEL SISTEMA DE AGUA POTABLE CON TANQUES ELEVADOS Y PILETAS PARA 13 CASERIOS DE LA ZONA DEL OESTE DEL DISTRITO DE OLMOS - LAMBAYEQUE - LAMBAYEQUE;MUNICIPALIDAD DISTRITAL DE OLMOS;LAMBAYEQUE;LAMBAYEQUE;OLMOS;2500;1210145;Transferencia;Indirecta;OBRA;Concluido;;;;;;;;;
1122;PE;12597;PNSU;64212;2067006;MEJORAMIENTO Y AMPLIACION DE LOS SERVICIOS DE AGUA POTABLE, ALCANTARILLADO Y TRATAMIENTO DE AGUAS SERVIDAS PARA EL ASENTAMIENTO HUMANO ALAN GARCIA PEREZ, DISTRITO DE OLMOS - LAMBAYEQUE - LAMBAYEQUE;MUNICIPALIDAD DISTRITAL DE OLMOS;LAMBAYEQUE;LAMBAYEQUE;OLMOS;3800;2090427;Transferencia;Directa;OBRA;Concluido;;;;;;;;;
1123;PE;12598;PNSU;272795;2187665;INSTALACION , AMPLIACION Y MEJORAMIENTO DE LOS SERVICIOS DE SANEAMIENTO BASICO RURAL (AGUA POTABLE Y LETRINAS DE ARRASTRE HIDRAULICO) EN LA ZONA RURAL DE LA LOCALIDAD DE PACORA, DISTRITO DE PACORA - LAMBAYEQUE - LAMBAYEQUE;MUNICIPALIDAD DISTRITAL DE PACORA;LAMBAYEQUE;LAMBAYEQUE;PACORA;3725;8785104.29;Transferencia;Indirecta;OBRA;Concluido;;;;;;;;;
1124;PE;12599;PNSU;74464;2104653;MEJORAMIENTO Y AMPLIACION DE LOS SISTEMAS DE AGUA POTBALE Y ALCANTARILLADO DE LA LOCALIDAD DE PACORA - LAMBAYEQUE;MUNICIPALIDAD DISTRITAL DE PACORA;LAMBAYEQUE;LAMBAYEQUE;PACORA;3703;22476366.15;Transferencia;Indirecta;OBRA (SALDO);Concluido;;;;;;;;;
1125;PE;12600;PNSU;19340;2228515;CONSTRUCCIÓN DE LETRINAS PÚBLICAS EN EL CASERIO CORRAL DE PIEDRA - SALAS (NO FINANCIADO POR EL PROGRAMA;GOBIERNO REGIONAL DE LAMBAYEQUE;LAMBAYEQUE;LAMBAYEQUE;SALAS;659;63452;Transferencia;Indirecta;OBRA;Concluido;;;;;;;;;
1126;PE;12601;PNSU;86078;2074793;MEJORAMIENTO Y AMPLIACION DEL SISTEMA DE AGUA POTABLE Y SANEAMIENTO CASERIOS SALAS COLAYA, LA RAMADA Y OTROS, DISTRITO DE SALAS - LAMBAYEQUE - LAMBAYEQUE;MUNICIPALIDAD DISTRITAL DE SALAS;LAMBAYEQUE;LAMBAYEQUE;SALAS;7500;18988815.11;Transferencia;Indirecta;OBRA;Concluido;;;;;;;;;
1127;PE;12602;PNSU;58493;2058097;CONSTRUCCION SISTEMA DE AGUA POTABLE LA SUCCHA LA SUCCHA ALTA Y LA SUCCHA BAJA, DISTRITO DE SALAS - LAMBAYEQUE - LAMBAYEQUE;MUNICIPALIDAD DISTRITAL DE SALAS;LAMBAYEQUE;LAMBAYEQUE;SALAS;300;187800;Transferencia;Indirecta;OBRA;Concluido;;;;;;;;;
1128;PE;12603;PNSU;54955;2058103;CONSTRUCCION DEL PLAN MAESTRO DE SANEAMIENTO AGUA POTABLE, DESAGUE Y TRATAMIENTO DE AGUAS RESIDUALES DE LA HABILITACION URBANA PROGRESIVA - JUAN TOMIS STACK - CIUDAD DE DIOS , DISTRITO DE SAN JOSE - LAMBAYEQUE - LAMBAYEQUE;MUNICIPALIDAD DISTRITAL DE SAN JOSE;LAMBAYEQUE;LAMBAYEQUE;SAN JOSE;13848;25775782.89;Transferencia;Indirecta;OBRA;Concluido;;;;;;;;;
1129;PE;12604;PNSU;135668;2126658;MEJORAMIENTO DE LAS REDES DE AGUA POTABLE Y ALCANTARILLADO EN LA CALLE ELVIRA GARCIA Y GARCIA, DISTRITO DE SAN JOSE - LAMBAYEQUE - LAMBAYEQUE;MUNICIPALIDAD DISTRITAL DE SAN JOSE;LAMBAYEQUE;LAMBAYEQUE;SAN JOSE;275;367763.9;Transferencia;Indirecta;OBRA;Concluido;;;;;;;;;
1130;PE;12605;PNSU;338514;2300841;MEJORAMIENTO DEL SISTEMA DE AGUA POTABLE  EN EL H.U.P. JUAN TOMIS STACK Y CIUDAD DE DIOS - DISTRITO DE SAN JOSÉ - PROVINCIA DE LAMBAYEQUE- REGIÓN LAMBAYEQUE.;ENTIDAD PRESTADORA DE SERVICIOS DE SANEAMIENTO DE LAMBAYEQUE S.A. ;LAMBAYEQUE;LAMBAYEQUE;SAN JOSE;14384;8312515.89;Transferencia;Indirecta;OBRA;Concluido;;;;;;;;;
1131;PE;12606;PNSU;177659;2144191;AMPLIACIÓN Y MEJORAMIENTO INTEGRAL DE LOS SISTEMAS DE AGUA POTABLE Y ALCANTARILLADO, DISTRITO DE SAN JOSÉ - LAMBAYEQUE - LAMBAYEQUE;MUNICIPALIDAD DISTRITAL DE SAN JOSE;LAMBAYEQUE;LAMBAYEQUE;SAN JOSE;13358;99689877.56;Transferencia;Indirecta;OBRA (Expediente Saldo);Concluido;;;;;;;;;
1132;PE;12607;PNSU;41333;2090885;MEJORAMIENTO Y AMPLIACION DEL SISTEMA DE AGUA POTABLE Y ALCANTARILLADO DE LA LOCALIDAD DE TUCUME;MUNICIPALIDAD DISTRITAL DE TUCUME;LAMBAYEQUE;LAMBAYEQUE;TUCUME;6533;9669813.49;Transferencia;Indirecta;OBRA (Expediente Saldo);En elaboración;;;;;;;;;
1133;PE;12608;PNSU;49934;2044700;CONSTRUCCION DEL RESERVORIO APOYADO DE 1,500 M3 BUENA VISTA - DISTRITO DE BARRANCA;GOBIERNO REGIONAL LIMA;LIMA;BARRANCA;BARRANCA;2091;950000;Transferencia;Indirecta;OBRA;Concluido;;;;;;;;;
1134;PE;12609;PNSU;52909;2090512;INSTALACION DEL SISTEMA DE AGUA POTABLE Y AMPLIACION DEL SISTEMA DE ALCANTARILLADO, SECTOR CERRO RONCADOR DE LA ZONA SUR ESTE DE BARRANCA - LIMA;EMPRESA DE SERVICIO MUNICIPAL DE AGUA POTABLE Y ALCANTARILLADO DE BARRANCA S.A. - SEMAPA BARRANCA S.A.;LIMA;BARRANCA;BARRANCA;12804;3672436.46;Transferencia;Indirecta;OBRA;Concluido;;;;;;;;;
1135;PE;12610;PNSU;18799;2042964;MEJORAMIENTO Y AMPLIACION DE LOS SISTEMAS DE AGUA POTABLE Y ALCANTARILLADO DE PARAMONGA;MUNICIPALIDAD DISTRITAL DE PARAMONGA;LIMA;BARRANCA;PARAMONGA;20054;5552860;Transferencia;Indirecta;OBRA;Concluido;;;;;;;;;
1136;PE;12611;PNSU;50223;2046356;NUEVO SISTEMA DE ABASTECIMIENTO DE AGUA POTABLE - PATIVILCA;MUNICIPALIDAD DISTRITAL DE PATIVILCA;LIMA;BARRANCA;PATIVILCA;16800;1980391;Transferencia;Directa;OBRA;Concluido;;;;;;;;;
1137;PE;12612;PNSU;93884;2077417;MEJORAMIENTO DEL SISTEMA DE AGUA Y ALCANTARILLADO SECTOR EL PORVENIR - PATIVILCA, DISTRITO DE PATIVILCA - BARRANCA - LIMA;MUNICIPALIDAD DISTRITAL DE PATIVILCA;LIMA;BARRANCA;PATIVILCA;4521;8494826.61;Transferencia;Indirecta;OBRA (SALDO);Paralizada;;;;;;;;;
1138;PE;12613;PNSU;8819;2018926;SISTEMA DE ALCANTARILLADO EN EL CENTRO POBLADO MENOR EL PORVENIR;GOBIERNO REGIONAL LIMA;LIMA;BARRANCA;SUPE;0;1310042;Transferencia;Indirecta;OBRA;Concluido;;;;;;;;;
1139;PE;12614;PNSU;77314;2092481;MEJORAMIENTO Y AMPLIACION DEL SISTEMA DE AGUA POTABLE, ALCANTARILLADO Y DISPOSICION FINAL DE LAS LOCALIDADES DE SUPE Y SAN NICOLAS DEL DISTRITO DE SUPE - BARRANCA;EPS EMAPA BARRANCA (INICIALMENTE MD DE SUPE);LIMA;BARRANCA;SUPE;17690;14822041.81;Transferencia;Indirecta;OBRA;Paralizada;;;;;;;;;
1140;PE;12615;PNSU;236634;2225399;MEJORAMIENTO DEL SISTEMA DE ALCANTARILLADO DE LOS CENTROS POBLADOS: VIRGEN DEL ROSARIO, VIRGEN DE LAS MERCEDES, VILLA LOS ANGELES Y SANTO DOMINGO, DISTRITO DE SUPE - BARRANCA - LIMA;MUNICIPALIDAD DISTRITAL DE SUPE;LIMA;BARRANCA;SUPE;1029;3799784.24;Transferencia;Indirecta;OBRA (SALDO);Concluido;;;;;;;;;
1141;PE;12616;PNSU;100179;2090770;MEJORAMIENTO Y AMPLIACION DEL SISTEMA DE AGUA POTABLE, ALCANTARILLADO Y DISPOSICION FINAL EN LA LOCALIDAD DE YANGAS Y ANEXOS DEL DISTRITO DE SANTA ROSA DE QUIVES - CANTA - LIMA;MUNICIPALIDAD DISTRITAL DE SANTA ROSA DE QUIVES;LIMA;CANTA;SANTA ROSA DE QUIVES;5592;7806790;Transferencia;Indirecta;OBRA;Concluido;;;;;;;;;
1142;PE;12617;PNSU;54327;2090158;MEJORAMIENTO Y AMPLIACIÓN DEL SISTEMA DE TRATAMIENTO DE AGUAS RESIDUALES EN LA LOCALIDAD DE CERRO AZUL - CAÑETE;MUNICIPALIDAD PROVINCIAL DE CAÑETE - SAN VICENTE DE CAÑETE;LIMA;CAÑETE;CERRO AZUL;4958;3644326;Transferencia;Indirecta;EXPEDIENTE TECNICO;Concluido;;;;;;;;;
1143;PE;12618;PNSU;387354;2378970;MEJORAMIENTO DEL SISTEMA DE  AGUA POTABLE  Y ALCANTARILLADO EN EL AA.HH  PUENTE  TABLA, DISTRITO DE CERRO AZUL - CANETE - LIMA;MUNICIPALIDAD DISTRITAL DE CERRO AZUL;LIMA;CAÑETE;CERRO AZUL;1040;4488404.63;Transferencia;Indirecta;OBRA;En Ejecución;;;;;;;;;
1144;PE;12619;PNSU;294508;2244668;INSTALACION DEL SISTEMA DE ALCANTARILLADO EN EL AA.HH SEÑOR DE LOS MILAGROS Y C.P CASA BLANCA, DISTRITO DE CERRO AZUL, PROVINCIA DE CAÑETE - LIMA;MUNICIPALIDAD DISTRITAL DE CERRO AZUL;LIMA;CAÑETE;CERRO AZUL;1767;9039179.98;Transferencia;;OBRA (SALDO);Actos Previos;;;;;;;;;
1145;PE;12620;PNSU;176710;2138958;CONSTRUCCION DEL SISTEMA DE ALCANTARILLADO E INSTALACIONES DOMICILIARIAS EN EL AA. HH. CERRO CANDELA, DISTRITO DE IMPERIAL - CANETE - LIMA;MUNICIPALIDAD DISTRITAL DE IMPERIAL;LIMA;CAÑETE;IMPERIAL;2500;4828573.86;Transferencia;Indirecta;OBRA;Concluido;;;;;;;;;
1146;PE;12621;PNSU;76635;2071236;INSTALACION DEL SISTEMA DE AGUA POTABLE Y ALCANTARILLADO EN EL CENTRO POBLADO PUEBLO NUEVO DE CONTA, DISTRITO DE NUEVO IMPERIAL - CANETE - LIMA;MUNICIPALIDAD DISTRITAL DE NUEVO IMPERIAL;LIMA;CAÑETE;NUEVO IMPERIAL;4038;10567847.38;Transferencia;Indirecta;OBRA;Concluido;;;;;;;;;
1147;PE;12622;PNSU;77484;2079989;CONSTRUCCION DE LOS SISTEMA DE AGUA POTABLE , ALCANTARILLADO Y LA PLANTA DE TRATAMIENTO DE AGUA RESIDUAL DEL CP LA FLORIDA, PROVINCIA DE CANETE - LIMA;MUNICIPALIDAD DISTRITAL DE NUEVO IMPERIAL;LIMA;CAÑETE;NUEVO IMPERIAL;3154;14567721.64;Transferencia;Indirecta;OBRA (SALDO);Concluido;;;;;;;;;
1148;PE;12623;PNSU;270941;2186824;AMPLIACION, MEJORAMIENTO DEL SISTEMA DE AGUA POTABLE E INSTALACION DEL ALCANTARILLADO SANITARIO EN EL C. P. CARMEN ALTO, DISTRITO DE NUEVO IMPERIAL - CANETE - LIMA;MUNICIPALIDAD DISTRITAL DE NUEVO IMPERIAL;LIMA;CAÑETE;NUEVO IMPERIAL;5038;15109437;Transferencia;Indirecta;OBRA;Concluido;;;;;;;;;
1149;PE;12624;PNSU;12892;2023123;AMPLIACION Y MEJORAMIENTO DEL SISTEMA DE AGUA POTABLE Y ALCANTARILLADO EN EL DISTRITO DE NUEVO IMPERIAL;MUNICIPALIDAD DISTRITAL DE NUEVO IMPERIAL;LIMA;CAÑETE;NUEVO IMPERIAL;10400;8391107.76;Transferencia;Indirecta;OBRA (SALDO);Concluido;;;;;;;;;
1150;PE;12625;PNSU;53910;2045719;CONSTRUCION DE LOS SISTEMAS DE AGUA POTABLE Y ALCANTARRILLADO Y PLANTA DE TRATAMIENTO DE AGUAS RESIDUALES EN EL DISTRITO DE PACARAN;GOBIERNO REGIONAL LIMA;LIMA;CAÑETE;PACARAN;3091;6716803.7;Transferencia;Indirecta;EXPEDIENTE TECNICO;Concluido;;;;;;;;;
1151;PE;12626;PNSU;317217;2264474;MEJORAMIENTO Y AMPLIACION DEL SISTEMA DE AGUA POTABLE Y ALCANTARILLADO EN LOS CENTROS POBLADOS DE  PACARAN, ROMANI Y JACAYITA, Y  ANEXOS JACAYA Y PUEBLO NUEVO DE ROMANI, DISTRITO DE PACARAN - CANETE - LIMA;MUNICIPALIDAD DISTRITAL DE PACARAN;LIMA;CAÑETE;PACARAN;3344;12355210.46;Transferencia;Indirecta;OBRA;Concluido;;;;;;;;;
1152;PE;12627;PNSU;55259;2086684;MEJORAMIENTO Y AMPLIACION DEL SISTEMA DE AGUA POTABLE Y ALCANTARILLADO EN LA LOCALIDAD DE SAN ANTONIO - CAÑETE - ETAPA II;EPS EMAPA CAÑETE;LIMA;CAÑETE;SAN ANTONIO;3771;15664051.33;Transferencia;Indirecta;OBRA (SALDO);Convenio Resuelto;;;;;;;;;
1153;PE;12628;PNSU;34142;2029692;CONSTRUCCION DEL SISTEMA DE TRATAMIENTO DE AGUAS RESIDUALES EN EL DISTRITO DE SAN LUIS-CENTRO POBLADO MENOR SANTA BARBARA;GOBIERNO REGIONAL LIMA;LIMA;CAÑETE;SAN LUIS;15172;2055282.21;Transferencia;Indirecta;OBRA;Concluido;;;;;;;;;
1154;PE;12629;PNSU;332329;2290817;MEJORAMIENTO, AMPLIACION DEL SISTEMA DE AGUA POTABLE Y ALCANTARILLADO EN EL SECTOR LA VIVIENDA SANTA BARBARA, DISTRITO DE SAN LUIS - CANETE - LIMA;MUNICIPALIDAD DISTRITAL DE SAN LUIS;LIMA;CAÑETE;SAN LUIS;1632;2897279.12;Transferencia;Indirecta;OBRA;Concluido;;;;;;;;;
1155;PE;12630;PNSU;212719;2203888;AMPLIACION DE REDES DE AGUA POTABLE E INSTALACION DEL SISTEMA DE ALCANTARILLADO EN EL C.P. DON OSCAR, DISTRITO DE SAN LUIS - CANETE - LIMA;MUNICIPALIDAD DISTRITAL DE SAN LUIS;LIMA;CAÑETE;SAN LUIS;540;4838616.89;Transferencia;Indirecta;OBRA;Paralizada;;;;;;;;;
1156;PE;12631;PNSU;79272;2226187;MEJORAMIENTO Y AMPLIACIÓN DEL SISTEMA DE AGUA POTABLE Y ALCANTARILLADO DEL DISTRITO DE ZÚÑIGA Y ANEXOS  (SAN JUAN, SAN JUANITO, CASCAJAL, LARPA  , MACHURANGA, CAMPANA, APOTARA) - DISTRITO DE ZUÑIGA,  PROVINCIA DE CAÑETE;MUNICIPALIDAD DISTRITAL DE ZUÑIGA;LIMA;CAÑETE;ZUÑIGA;1905;8278383.02;Transferencia;Indirecta;OBRA;Concluido;;;;;;;;;
1157;PE;12632;PNSU;53702;2090155;MEJORAMIENTO Y AMPLIACIÓN DEL SISTEMA DE AGUA POTABLE Y ALCANTARILLADO EN EL CENTRO POBLADO SAN MARCOS DE LA AGUADA DEL DISTRITO DE MALA – CAÑETE;REGION LIMA;LIMA;CAÑETE ;MALA;6472;6573014.35;Transferencia;Indirecta;EXPEDIENTE TECNICO;Concluido;;;;;;;;;
1158;PE;12633;PNSU;46703;2064863;AMPLIACION DEL SISTEMA DE DESAGUE DE LOS AA. HH. LOS ALAMOS Y MIRAMAR, DISTRITO DE CHANCAY - HUARAL - LIMA;MUNICIPALIDAD DISTRITAL DE CHANCAY;LIMA;HUARAL;CHANCAY;3408;1442048;Transferencia;Directa;OBRA;Concluido;;;;;;;;;
1159;PE;12634;PNSU;46735;2064867;AMPLIACION SISTEMA DE DESAGUE AA.HH. LA SOLEDAD Y PACIFICO, DISTRITO DE CHANCAY - HUARAL - LIMA;MUNICIPALIDAD DISTRITAL DE CHANCAY;LIMA;HUARAL;CHANCAY;3138;1481163;Transferencia;Directa;OBRA;Concluido;;;;;;;;;
1160;PE;12635;PNSU;46927;2064870;AMPLIACION LINEA DE CONDUCCION PLANTA QUEPEPAMPA - LA SOLEDAD , DISTRITO DE CHANCAY - HUARAL - LIMA;MUNICIPALIDAD DISTRITAL DE CHANCAY;LIMA;HUARAL;CHANCAY;6132;1452374;Transferencia;Directa;OBRA;Concluido;;;;;;;;;
1161;PE;12636;PNSU;59641;2065816;INSTALACION SISTEMA INTEGRAL DE AGUA POTABLE Y ALCANTARRILLADO CENTRO POBLADO QUEPEPAMPA, DISTRITO DE CHANCAY - HUARAL - LIMA;MUNICIPALIDAD DISTRITAL DE CHANCAY;LIMA;HUARAL;CHANCAY;1178;1878171;Transferencia;Directa;OBRA;Concluido;;;;;;;;;
1162;PE;12637;PNSU;21256;2023106;SISTEMA DE AGUA POTABLE Y ALCANTARILLADO EN EL ASENTAMIENTO HUMANO EL ANGEL;GOBIERNO REGIONAL LIMA;LIMA;HUARAL;HUARAL;896;2163969.2;Transferencia;Indirecta;OBRA;Concluido;;;;;;;;;
1163;PE;12638;PNSU;45097;2041038;AMPLIACION RED DE AGUA POTABLE Y ALCANTARILLADO SECTOR LOS JARDINES II ETAPA;EMPRESA MUNICIPAL DE LOS SERVICIOS DE AGUA POTABLE Y ALCANTARILLADO DE HUARAL S.A.;LIMA;HUARAL;HUARAL;195;137683;Transferencia;Directa;OBRA;Concluido;;;;;;;;;
1164;PE;12639;PNSU;43876;2041037;AMPLIACION DE RED AGUA POTABLE Y ALCANTARILLADO SECTOR LAN CHUN KIN - HUARAL EMAPA HUARAL;EMPRESA MUNICIPAL DE LOS SERVICIOS DE AGUA POTABLE Y ALCANTARILLADO DE HUARAL S.A.;LIMA;HUARAL;HUARAL;70;42007;Transferencia;Directa;OBRA;Concluido;;;;;;;;;
1165;PE;12640;PNSU;42637;2041034;RENOVACION RED DE ALCANTARILLADO SECTOR TRES PALMERAS - HUARAL EMAPA HUARAL;EMPRESA MUNICIPAL DE LOS SERVICIOS DE AGUA POTABLE Y ALCANTARILLADO DE HUARAL S.A.;LIMA;HUARAL;HUARAL;155;31199;Transferencia;Directa;OBRA;Concluido;;;;;;;;;
1166;PE;12641;PNSU;42639;2041035;AMPLIACION DE RED DE ALCANTARILLADO CALLE MORALES BERMUDEZ - HUARAL EMAPA HUARAL;EMPRESA MUNICIPAL DE LOS SERVICIOS DE AGUA POTABLE Y ALCANTARILLADO DE HUARAL S.A.;LIMA;HUARAL;HUARAL;75;13949;Transferencia;Directa;OBRA;Concluido;;;;;;;;;
1167;PE;12642;PNSU;43782;2041036;AMPLIACION DE RED DE ALCANTARILLADO SECTOR LA CAPORALA II - HUARAL EMAPA HUARAL;EMPRESA MUNICIPAL DE LOS SERVICIOS DE AGUA POTABLE Y ALCANTARILLADO DE HUARAL S.A.;LIMA;HUARAL;HUARAL;270;86663;Transferencia;Directa;OBRA;Concluido;;;;;;;;;
